order_id,product_name,category,quantity,unit_price,discount_percent,region,sale_date,customer_email,revenue
ORD_000000,Smart Watch,Electronics,2,249.26,0.1666,South,2023-01-13 00:00:00,customer_000000@example.com,415.44
ORD_000001,Laptop,Electronics,1,799.83,0.1152,North,2023-02-11 00:00:00,customer_000001@example.com,707.7
ORD_000002,Headphones,Electronics,4,88.54,0.1403,North,2023-01-03 00:00:00,customer_000002@example.com,304.47
ORD_000003,Shoes,Fashion,2,104.08,0.1143,North,2023-04-05 00:00:00,customer_000003@example.com,184.37
ORD_000004,Headphones,Electronics,1,307.74,0.1608,South,2023-03-26 00:00:00,customer_000004@example.com,258.27
ORD_000005,Watch,Fashion,1,376.56,0.131,West,2023-07-20 00:00:00,customer_000005@example.com,327.23
ORD_000006,Laptop,Electronics,4,1945.91,0.1081,East,2023-03-30 00:00:00,customer_000006@example.com,6941.94
ORD_000007,T-Shirt,Fashion,1,13.22,0.0954,East,2023-04-12 00:00:00,customer_000007@example.com,11.96
ORD_000008,Sunglasses,Fashion,3,2968.647087303704,0.1944,North,2023-04-11 00:00:00,customer_000008@example.com,7174.626280595593
ORD_000009,Kitchen Knife Set,Home Goods,3,165.63,0.1858,South,2023-03-20 00:00:00,customer_000009@example.com,404.56
ORD_000010,Gaming Console,Electronics,5,460.76,0.8,East,2023-03-09 00:00:00,customer_000010@example.com,460.75999999999993
ORD_000011,Smart Watch,Electronics,2,124.66,0.1002,East,2023-01-05 00:00:00,customer_000011@example.com,224.33
ORD_000012,Laptop,Electronics,5,1844.87,0.0565,East,2023-03-04 00:00:00,customer_000012@example.com,8702.98
ORD_000013,T-Shirt,Fashion,1,44.13,0.192,South,2023-03-01 00:00:00,customer_000013@example.com,35.66
ORD_000014,Lamp,Home Goods,6,144.01,0.1648,West,2023-04-02 00:00:00,customer_000014@example.com,721.72
ORD_000015,Watch,Fashion,1,45.03,0.0853,East,2023-01-27 00:00:00,customer_000015@example.com,41.19
ORD_000016,Camera,Electronics,2,1556.05,0.1627,North,2023-04-13 00:00:00,customer_000016@example.com,2605.76
ORD_000017,T-Shirt,Fashion,1,18.18,0.1667,South,2023-09-30 00:00:00,customer_000017@example.com,15.15
ORD_000018,T-Shirt,Fashion,1,71.98,0.0371,West,2023-01-25 00:00:00,customer_000018@example.com,69.31
ORD_000019,Laptop,Electronics,2,1504.09,0.175,East,2023-07-25 00:00:00,customer_000019@example.com,2481.86
ORD_000020,Smart Watch,Electronics,1,178.01,0.0471,North,2023-09-20 00:00:00,customer_000020@example.com,169.63
ORD_000021,Headphones,Electronics,1000,373.37,0.0778,North,2023-01-31 00:00:00,customer_000021@example.com,344321.814
ORD_000022,Laptop,Electronics,1,454.58,0.1961,West,2023-02-02 00:00:00,customer_000022@example.com,365.45
ORD_000023,Belt,Fashion,6,35.52,0.1999,South,2023-09-13 00:00:00,customer_000023@example.com,170.53
ORD_000024,Vacuum Cleaner,Home Goods,5,293.4,0.1852,South,2023-03-05 00:00:00,customer_000024@example.com,1195.34
ORD_000025,Headphones,Electronics,5,0.26176479301112027,0.0511,East,2023-02-09 00:00:00,customer_000025@example.com,1.24194306044126
ORD_000026,Jeans,Fashion,3,30.52,0.0448,West,2023-01-14 00:00:00,customer_000026@example.com,87.47
ORD_000027,Smartphone,Electronics,1,1004.11,0.1279,South,2023-02-27 00:00:00,customer_000027@example.com,875.73
ORD_000028,T-Shirt,Fashion,3,33.36,0.0969,North,2023-02-02 00:00:00,customer_000028@example.com,90.38
ORD_000029,Lamp,Home Goods,1,40.77,0.1041,West,2023-02-07 00:00:00,customer_000029@example.com,36.53
ORD_000030,Shoes,Fashion,1,221.62,0.0752,East,2023-01-22 00:00:00,customer_000030@example.com,204.95
ORD_000031,Pillow,Home Goods,1,30.82,0.9,North,2023-03-06 00:00:00,customer_000031@example.com,3.0819999999999994
ORD_000032,Tablet,Electronics,1,477.9,0.1298,East,2023-04-27 00:00:00,customer_000032@example.com,415.88
ORD_000033,Camera,Electronics,2,1635.64,0.115,South,2023-04-06 00:00:00,customer_000033@example.com,2895.14
ORD_000034,Tablet,Electronics,2,155.72,0.062,South,2023-01-31 00:00:00,customer_000034@example.com,292.13
ORD_000035,T-Shirt,Fashion,1,24.1,0.2091,West,2023-04-08 00:00:00,customer_000035@example.com,19.06
ORD_000036,Smartphone,Electronics,2,117.7,0.1743,West,2023-06-05 00:00:00,customer_000036@example.com,194.35
ORD_000037,Jacket,Fashion,3,157.96,0.2399,South,2023-04-04 00:00:00,customer_000037@example.com,360.2
ORD_000038,Desktop Computer,Electronics,1,1446.55,0.1033,South,2023-03-11 00:00:00,customer_000038@example.com,1297.13
ORD_000039,Vacuum Cleaner,Home Goods,135,1751.6126558674255,0.9392505097630103,South,2023-01-27 00:00:00,customer_000039@example.com,14365.292751441784
ORD_000040,Watch,Fashion,3,294.71,0.2226,North,2023-05-29 00:00:00,customer_000040@example.com,687.29
ORD_000041,Vacuum Cleaner,Home Goods,5,185.35,0.0855,North,2023-03-09 00:00:00,customer_000041@example.com,847.57
ORD_000042,Jeans,Fashion,1,72.28,0.0791,East,2023-01-11 00:00:00,customer_000042@example.com,66.57
ORD_000043,Smartphone,Electronics,2,1127.48,0.1724,South,2023-04-05 00:00:00,customer_000043@example.com,1866.24
ORD_000044,Shoes,Fashion,3,282.0,0.1113,East,2023-10-02 00:00:00,customer_000044@example.com,751.88
ORD_000045,Cookware Set,Home Goods,4,201.91,0.0111,East,2023-02-27 00:00:00,customer_000045@example.com,798.64
ORD_000046,Desktop Computer,Electronics,1,989.84,0.1173,North,2023-02-06 00:00:00,customer_000046@example.com,873.76
ORD_000047,Headphones,Electronics,5,129.23,0.1481,West,2023-02-05 00:00:00,customer_000047@example.com,550.43
ORD_000048,Towel Set,Home Goods,1,68.32,0.1437,North,2023-05-21 00:00:00,customer_000048@example.com,58.5
ORD_000049,Jeans,Fashion,1,79.0,0.1738,North,2023-05-18 00:00:00,customer_000049@example.com,65.27
ORD_000050,Shoes,Fashion,1,84.76,0.1599,North,2023-03-10 00:00:00,customer_000050@example.com,71.2
ORD_000051,Storage Box,Home Goods,1,58.66,0.0791,West,2023-01-17 00:00:00,customer_000051@example.com,54.02
ORD_000052,Shoes,Fashion,1,141.44,0.1451,South,2023-01-26 00:00:00,customer_000052@example.com,120.91
ORD_000053,Towel Set,Home Goods,3,90.5,0.1678,North,2023-02-09 00:00:00,customer_000053@example.com,225.96
ORD_000054,Shoes,Fashion,1,229.95,0.1027,West,2023-01-24 00:00:00,customer_000054@example.com,206.33
ORD_000055,Monitor,Electronics,1,160.77,0.1467,West,2023-04-09 00:00:00,customer_000055@example.com,137.19
ORD_000056,Dress,Fashion,1,124.34,0.0774,West,2023-01-31 00:00:00,customer_000056@example.com,114.72
ORD_000057,Headphones,Electronics,2,91.15,0.1222,North,2023-01-20 00:00:00,customer_000057@example.com,160.01
ORD_000058,Shoes,Fashion,2,203.67,0.2041,South,2023-04-25 00:00:00,customer_000058@example.com,324.21
ORD_000059,Storage Box,Home Goods,2,39.28,0.1954,South,2023-05-08 00:00:00,customer_000059@example.com,63.21
ORD_000060,Laptop,Electronics,5,0.12568805828607918,0.1095,East,2023-02-16 00:00:00,customer_000060@example.com,0.5596260795187675
ORD_000061,Coffee Maker,Home Goods,3,192.58,0.1829,West,2023-09-20 00:00:00,customer_000061@example.com,472.1
ORD_000062,Belt,Fashion,1,65.58,0.106,East,2023-08-08 00:00:00,customer_000062@example.com,58.63
ORD_000063,Monitor,Electronics,1,27174.526343842816,0.1361,East,2023-03-20 00:00:00,customer_000063@example.com,23476.073308445808
ORD_000064,Smart Watch,Electronics,4,362.03,0.1172,South,2023-01-08 00:00:00,customer_000064@example.com,1278.34
ORD_000065,Smartphone,Electronics,2,989.56,0.1545,North,2023-03-11 00:00:00,customer_000065@example.com,1673.32
