order_id,product_name,category,quantity,unit_price,discount_percent,region,sale_date,customer_email,revenue
ORD_000000,Laptop,Electronics,1,517.87,0.1455,east,2023-02-19 00:00:00,customer_000000@example.com,442.5
ORD_000001,Jacket,Fashion,2,235.86,0.104,East,2023-02-09 00:00:00,customer_000001@example.com,422.63
ORD_000002,Smartphone,Electronics,1,321.48,0.155,West,2023-08-16 00:00:00,customer_000002@example.com,271.63
ORD_000003,Camera,Electronics,1,1607.34,0.1359,North,2023-02-15 00:00:00,customer_000003@example.com,1388.93
ORD_000004,Smartphone,Electronics,2,961.78,0.1413,South,2023-02-14 00:00:00,customer_000004@example.com,1651.75
ORD_000005,Gaming Console,Electronics,6,349.24,0.1349,East,2023-04-18 00:00:00,customer_000005@example.com,1812.66
ORD_000006,Dress,Fashion,1,82.31,0.0609,North,2023-03-12 00:00:00,customer_000006@example.com,77.3
ORD_000007,Dress,Fashion,2,165.72,0.1292,West,2023-03-13 00:00:00,customer_000007@example.com,288.63
ORD_000008,Lamp,Home Goods,3,136.79,0.1021,East,2023-05-04 00:00:00,customer_000008@example.com,368.46
ORD_000009,DESKTOP COMPUTER,Electronics,7,2041.1,0.1756,North,2023-01-23 00:00:00,customer_000009@example.com,11778.9
ORD_000010,Shoes,Fashion,1,43.91,-0.1,West,2023-01-25 00:00:00,customer_000010@example.com,37.4
ORD_000011,Desktop Computer,Electronics,1,456.75,0.1888,South,2023-04-22 00:00:00,customer_000011@example.com,370.53
ORD_000012,Smartphone,Electronics,1,451.3,0.1242,West,2023-02-18 00:00:00,customer_000012@example.com,395.27
ORD_000013,Jeans,Fashion,1,113.52,0.1413,North,01-01-2023,customer_000013@example.com,97.48
ORD_000014,T-Shirt,Fashion,1,33.22,0.1835,North,2023-03-24 00:00:00,customer_000014@example.com,27.12
ORD_000015,Dress,fashion,4,139.63,0.0736,East,2023-03-09 00:00:00,customer_000015@example.com,517.43
ORD_000016,Smart Watch,Electronics,1,196.99,0.0742,East,2023-03-08 00:00:00,customer_000016@example.com,182.37
ORD_000017,Shoes,Fashion,-1,48.41,0.0843,West,2023-02-04 00:00:00,customer_000017@example.com,88.65
ORD_000018,Smartphone,Electronics,1,536.34,invalid,North,2023-10-23 00:00:00,customer_000018@example.com,471.48
ORD_000019,Watch,Fashion,1,158.31,2.0,South,2023-02-04 00:00:00,customer_000019@example.com,148.91
ORD_000020,Tablet,Electronics,2,,0.1574,West,2023-10-29 00:00:00,customer_000020@example.com,794.44
ORD_000021,Camera,Electronics,2,1348.66,0.1413,North,2023-04-09 00:00:00,customer_000021@example.com,2316.12
ORD_000022,Lamp,Home Goods,,127.64,0.0629,West,,customer_000022@example.com,478.49
ORD_000023,Gaming Console,Electronics,1,488.23,0.055,West,2023-02-27 00:00:00,customer_000023@example.com,461.4
ORD_000024,Storage Box,Home Goods,1,13.76,,South,2023-01-14 00:00:00,customer_000024@example.com,13.05
ORD_000025,Desktop Computer,Electronics,invalid,1497.14,0.193,North,2023-04-08 00:00:00,customer_000025@example.com,1208.2
ORD_000026,Laptop,Electronics,1,1652.69,0.0638,North,2023-01-29 00:00:00,customer_000026@example.com,1547.2
ORD_000027,Gaming Console,Electronics,2,423.84,0.0079,East,2023-01-04 00:00:00,customer_000027@example.com,840.98
ORD_000028,Smart Watch,Electronics,5,222.23,0.167,West,2023-02-04 00:00:00,customer_000028@example.com,925.63
ORD_000029,Storage Box,Home Goods,2,57.36,0.027,West,2023-02-17 00:00:00,customer_000029@example.com,111.62
ORD_000030,Jeans,Fashion,4,102.8,0.0432,northern,2023-02-24 00:00:00,customer_000030@example.com,393.43
ORD_000031,Camera,Electronics,2,1421.45,0.1311,West,2023-01-01 00:00:00,customer_000031@example.com,2470.29
ORD_000032,Headphones,tech,3,200.05,0.1106,East,2023-01-29 00:00:00,customer_000032@example.com,533.8
ORD_000033,Handbag,Fashion,3,252.0,0.1882,East,2023-05-05 00:00:00,customer_000033@example.com,613.7
ORD_000034,Pillow,Home Goods,3,27.43,0.2177,West,2023-01-11 00:00:00,,64.38
ORD_000035,Headphones,Electronics,3,392.13,-0.1,South,2023-04-25 00:00:00,customer_000035@example.com,880.96
ORD_000036,Watch,Fashion,1,32.53,0.0827,West,2023-02-20 00:00:00,customer_000036@example.com,29.84
ORD_000036,Smartphone,Electronics,1,941.2,0.0033,West,2023-01-03 00:00:00,customer_000037@example.com,938.08
ORD_000038,Vacuum Cleaner,Home Goods,1,360.81,0.1282,West,2023-08-09 00:00:00,customer_000038@example.com,314.54
ORD_000039,Desktop Computer,Electronics,2,1318.43,0.0747,North,2023-02-04 00:00:00,customer_000039@example.com,2439.98
ORD_000040,Jacket,Fashion,3,70.78,0.0826,South,2023-02-25 00:00:00,customer_000040@example.com,194.8
ORD_000041,Headphones,Electronics,3,88.93,0.1412,East,2023-03-01 00:00:00,customer_000041@example.com,229.11
ORD_000042,Smartphone,Electronics,1,,0.1242,East,2023-03-13 00:00:00,customer_000042@example.com,796.58
