order_id,product_name,category,quantity,unit_price,discount_percent,region,sale_date,customer_email,revenue
ORD_000000,Pillow,Home Goods,2,31.19,,West,2023-05-03 00:00:00,customer_000000@example.com,62.38
ORD_000001,Dress,Fashion,1,85.2,0.2028,South,2023-02-18 00:00:00,customer_000001@example.com,67.92
ORD_000002,Smart Watch,Electronics,1,233.88,0.2154,West,2023-06-06 00:00:00,customer_000002@example.com,183.51
ORD_000003,Headphones,Electronics,4,193.76,0.1475,East,2023-03-25 00:00:00,customer_000003@example.com,660.75
ORD_000004,Towel Set,Home Goods,1,52.17,0.108,West,2023-05-15 00:00:00,customer_000004@example.com,46.54
ORD_000004,Headphones,Electronics,1,362.3,0.0684,West,2023-01-12 00:00:00,customer_000005@example.com,337.52
ORD_000006,Handbag,Fashion,1,292.73,0.0921,North,2023-02-13 00:00:00,customer_000006@example.com,265.76
ORD_000007,Shoes,Fashion,4,219.91,0.0715,North,2023-06-06 00:00:00,customer_000007@example.com,816.73
ORD_000008,Desktop Computer,Electronics,3,504.06,0.0598,West,2023-01-02 00:00:00,customer_000008@example.com,1421.8
ORD_000009,Handbag,Fashion,3,378.65,0.1799,South,2023-03-26 00:00:00,customer_000009@example.com,931.57
ORD_000010,Vacuum Cleaner,Home Goods,1,144.39,0.0904,East,2023-03-07 00:00:00,customer_000010@example.com,131.34
ORD_000011,Dress,Fashion,2,150.02,0.0902,West,2023-02-04 00:00:00,customer_000011@example.com,272.97
ORD_000012,Dress,Fashion,1,44.69,1.5,South,2023-01-19 00:00:00,customer_000012@example.com,40.86
ORD_000013,Shoes,Fashion,6,67.14,0.1191,North,2023-01-29 00:00:00,customer_000013@example.com,354.89
ORD_000014,Laptop,Electronics,2,352.23,0.0228,West,2023-01-06 00:00:00,customer_000014@example.com,688.37
ORD_000015,Tablet,Electronics,1,314.19,0.125,South,2023-08-12 00:00:00,customer_000015@example.com,274.91
ORD_000016,Belt,clothes,3,17.17,0.0517,North,2023-03-13 00:00:00,customer_000016@example.com,48.84
ORD_000017,Dress,Fashion,3,191.64,0.1142,West,2023-09-22 00:00:00,customer_000017@example.com,509.26
ORD_000018,Headphones,Electronics,1,392.53,0.133,West,2023-04-21 00:00:00,customer_000018@example.com,340.34
ORD_000019,Smart Watch,Electronics,1,122.63,0.0137,East,2023-01-09 00:00:00,customer_000019@example.com,120.95
ORD_000020,,Electronics,1,929.54,0.1002,e,2023-09-28 00:00:00,customer_000020@example.com,836.42
ORD_000021,T-Shirt,Fashion,2,12.1,0.0999,North,2023-01-29 00:00:00,customer_000021@example.com,21.78
ORD_000022,Gaming Console,Electronics,2,401.4,0.1093,North,2023-02-16 00:00:00,customer_000022@example.com,715.05
ORD_000023,Smart Watch,Electronics,1,116.31,0.1129,NORTH,2023-07-04 00:00:00,customer_000023@example.com,103.17
ORD_000024,Kitchen Knife Set,Home Goods,5,130.58,0.099,South,2023-02-16 00:00:00,customer_000024@example.com,588.25
ORD_000025,Watch,Fashion,1,368.31,0.0963,North,2023-02-09 00:00:00,customer_000025@example.com,332.85
ORD_000026,Pillow (Used),Home Goods,1,29.7,0.0803,West,2023-04-30 00:00:00,customer_000026@example.com,27.31
ORD_000027,Monitor,Electronics,6,256.19,0.1396,South,2023-01-24 00:00:00,customer_000027@example.com,1322.6
ORD_000028,Lamp,Home Goods,1,120.12,0.238,South,2023-06-06 00:00:00,customer_000028@example.com,91.53
,Smartphone,,1,1051.47,0.1588,South,,customer_000029@example.com,884.53
ORD_000030,Smartphone,Electronics,4,999.16,0.1091,East,2023-02-14 00:00:00,customer_000030@example.com,3560.66
ORD_000031,Belt,Fashion,8,34.36,0.2027,West,2023-01-05 00:00:00,customer_000031@example.com,219.2
ORD_000032,pillow,Home Goods,1,45.31,0.1855,East,2023-01-14 00:00:00,customer_000032@example.com,36.91
ORD_000033,Storage Box,Home Goods,1,40.62,0.1289,West,2023-01-03 00:00:00,customer_000033@example.com,35.39
ORD_000034,Headphones,Electronics,1,-10,0.1679,North,2023-05-29 00:00:00,customer_000034@example.com,52.86
ORD_000035,Belt,Fashion,4,69.5,0.0908,West,2023-01-03 00:00:00,customer_000035@example.com,252.78
ORD_000036,T-Shirt,Fashion,2,46.32,0.2084,South,2023-04-25 00:00:00,customer_000036@example.com,73.34
ORD_000037,Tablet,Electronics,2,773.71,0.1618,West,2023-07-20 00:00:00,customer_000037@example.com,1297.06
ORD_000038,Smartphone,electronics,5,124.03,0.2004,South,2023-02-12 00:00:00,customer_000038@example.com,495.9
ORD_000039,Gaming Console,Electronics,7,547.61,2.0,East,2023-03-10 00:00:00,customer_000039@example.com,3578.27
ORD_000040,Laptop,Electronics,2,480.06,0.1458,North,2023-04-17 00:00:00,customer_000040@example.com,820.15
ORD_000041,Smart Watch,tech,4,512.06,0.1075,East,2023-01-24 00:00:00,customer_000041@example.com,1828.07
ORD_000042,Cookware Set,Home Goods,0,258.84,0.031,East,2023-01-16 00:00:00,customer_000042@example.com,250.8
ORD_000043,Watch,Fashion,8,43.36,0.161,west,2023-02-03 00:00:00,customer_000043@example.com,291.06
ORD_000044,Tablet,Electronics,1,719.06,0.0821,southern,2023-02-10 00:00:00,customer_000044@example.com,660.05
